Dataset size: 112120 images.
GAN training: time elapsed = 4045.87 [s] | epoch=2 | batch= [601/3503]
GAN training: time elapsed = 4095.02 [s] | epoch=2 | batch= [651/3503]
GAN training: time elapsed = 4144.32 [s] | epoch=2 | batch= [701/3503]
GAN training: time elapsed = 4193.42 [s] | epoch=2 | batch= [751/3503]
GAN training: time elapsed = 4242.56 [s] | epoch=2 | batch= [801/3503]
GAN training: time elapsed = 4291.85 [s] | epoch=2 | batch= [851/3503]
GAN training: time elapsed = 4341.13 [s] | epoch=2 | batch= [901/3503]
GAN training: time elapsed = 4390.44 [s] | epoch=2 | batch= [951/3503]
GAN training: time elapsed = 4439.76 [s] | epoch=2 | batch= [1001/3503]
GAN training: time elapsed = 4489.28 [s] | epoch=2 | batch= [1051/3503]
GAN training: time elapsed = 4538.48 [s] | epoch=2 | batch= [1101/3503]
GAN training: time elapsed = 4587.84 [s] | epoch=2 | batch= [1151/3503]
GAN training: time elapsed = 4637.19 [s] | epoch=2 | batch= [1201/3503]
GAN training: time elapsed = 4686.50 [s] | epoch=2 | batch= [1251/3503]
GAN training: time elapsed = 4736.07 [s] | epoch=2 | batch= [1301/3503]
GAN training: time elapsed = 4785.31 [s] | epoch=2 | batch= [1351/3503]
GAN training: time elapsed = 4834.54 [s] | epoch=2 | batch= [1401/3503]
GAN training: time elapsed = 4883.96 [s] | epoch=2 | batch= [1451/3503]
GAN training: time elapsed = 4933.07 [s] | epoch=2 | batch= [1501/3503]
GAN training: time elapsed = 4982.31 [s] | epoch=2 | batch= [1551/3503]
GAN training: time elapsed = 5031.20 [s] | epoch=2 | batch= [1601/3503]
GAN training: time elapsed = 5080.41 [s] | epoch=2 | batch= [1651/3503]
GAN training: time elapsed = 5131.14 [s] | epoch=2 | batch= [1701/3503]
GAN training: time elapsed = 5180.42 [s] | epoch=2 | batch= [1751/3503]
GAN training: time elapsed = 5229.46 [s] | epoch=2 | batch= [1801/3503]
GAN training: time elapsed = 5278.66 [s] | epoch=2 | batch= [1851/3503]
GAN training: time elapsed = 5327.95 [s] | epoch=2 | batch= [1901/3503]
GAN training: time elapsed = 5377.31 [s] | epoch=2 | batch= [1951/3503]
GAN training: time elapsed = 5426.74 [s] | epoch=2 | batch= [2001/3503]
GAN training: time elapsed = 5476.05 [s] | epoch=2 | batch= [2051/3503]
GAN training: time elapsed = 5525.07 [s] | epoch=2 | batch= [2101/3503]
GAN training: time elapsed = 5574.34 [s] | epoch=2 | batch= [2151/3503]
GAN training: time elapsed = 5623.54 [s] | epoch=2 | batch= [2201/3503]
GAN training: time elapsed = 5672.72 [s] | epoch=2 | batch= [2251/3503]
GAN training: time elapsed = 5722.07 [s] | epoch=2 | batch= [2301/3503]
GAN training: time elapsed = 5771.27 [s] | epoch=2 | batch= [2351/3503]
GAN training: time elapsed = 5820.50 [s] | epoch=2 | batch= [2401/3503]
GAN training: time elapsed = 5869.84 [s] | epoch=2 | batch= [2451/3503]
GAN training: time elapsed = 5919.12 [s] | epoch=2 | batch= [2501/3503]
GAN training: time elapsed = 5968.23 [s] | epoch=2 | batch= [2551/3503]
GAN training: time elapsed = 6017.31 [s] | epoch=2 | batch= [2601/3503]
GAN training: time elapsed = 6066.41 [s] | epoch=2 | batch= [2651/3503]
GAN training: time elapsed = 6115.62 [s] | epoch=2 | batch= [2701/3503]
GAN training: time elapsed = 6164.76 [s] | epoch=2 | batch= [2751/3503]
GAN training: time elapsed = 6213.63 [s] | epoch=2 | batch= [2801/3503]
GAN training: time elapsed = 6262.85 [s] | epoch=2 | batch= [2851/3503]
GAN training: time elapsed = 6312.17 [s] | epoch=2 | batch= [2901/3503]
GAN training: time elapsed = 6361.46 [s] | epoch=2 | batch= [2951/3503]
GAN training: time elapsed = 6410.70 [s] | epoch=2 | batch= [3001/3503]
GAN training: time elapsed = 6460.25 [s] | epoch=2 | batch= [3051/3503]
GAN training: time elapsed = 6509.44 [s] | epoch=2 | batch= [3101/3503]
GAN training: time elapsed = 6558.55 [s] | epoch=2 | batch= [3151/3503]
GAN training: time elapsed = 6607.84 [s] | epoch=2 | batch= [3201/3503]
GAN training: time elapsed = 6657.30 [s] | epoch=2 | batch= [3251/3503]
GAN training: time elapsed = 6706.49 [s] | epoch=2 | batch= [3301/3503]
GAN training: time elapsed = 6756.57 [s] | epoch=2 | batch= [3351/3503]
GAN training: time elapsed = 6807.18 [s] | epoch=2 | batch= [3401/3503]
GAN training: time elapsed = 6857.64 [s] | epoch=2 | batch= [3451/3503]
GAN training: time elapsed = 6907.68 [s] | epoch=2 | batch= [3501/3503]
GAN training: time elapsed = 6911.08 [s] | epoch=3 | batch= [1/3503]
GAN training: time elapsed = 6960.49 [s] | epoch=3 | batch= [51/3503]
GAN training: time elapsed = 7009.61 [s] | epoch=3 | batch= [101/3503]
GAN training: time elapsed = 7058.93 [s] | epoch=3 | batch= [151/3503]
GAN training: time elapsed = 7108.40 [s] | epoch=3 | batch= [201/3503]
GAN training: time elapsed = 7157.47 [s] | epoch=3 | batch= [251/3503]
GAN training: time elapsed = 7206.77 [s] | epoch=3 | batch= [301/3503]
GAN training: time elapsed = 7256.03 [s] | epoch=3 | batch= [351/3503]
GAN training: time elapsed = 7305.24 [s] | epoch=3 | batch= [401/3503]
GAN training: time elapsed = 7354.51 [s] | epoch=3 | batch= [451/3503]
GAN training: time elapsed = 7403.44 [s] | epoch=3 | batch= [501/3503]
GAN training: time elapsed = 7452.73 [s] | epoch=3 | batch= [551/3503]
GAN training: time elapsed = 7501.80 [s] | epoch=3 | batch= [601/3503]
GAN training: time elapsed = 7551.14 [s] | epoch=3 | batch= [651/3503]
GAN training: time elapsed = 7600.48 [s] | epoch=3 | batch= [701/3503]
GAN training: time elapsed = 7649.60 [s] | epoch=3 | batch= [751/3503]
GAN training: time elapsed = 7698.67 [s] | epoch=3 | batch= [801/3503]
GAN training: time elapsed = 7747.87 [s] | epoch=3 | batch= [851/3503]
GAN training: time elapsed = 7797.05 [s] | epoch=3 | batch= [901/3503]
GAN training: time elapsed = 7846.24 [s] | epoch=3 | batch= [951/3503]
GAN training: time elapsed = 7895.60 [s] | epoch=3 | batch= [1001/3503]
GAN training: time elapsed = 7944.64 [s] | epoch=3 | batch= [1051/3503]
GAN training: time elapsed = 7994.13 [s] | epoch=3 | batch= [1101/3503]
GAN training: time elapsed = 8043.39 [s] | epoch=3 | batch= [1151/3503]
GAN training: time elapsed = 8092.47 [s] | epoch=3 | batch= [1201/3503]
GAN training: time elapsed = 8141.78 [s] | epoch=3 | batch= [1251/3503]
GAN training: time elapsed = 8191.19 [s] | epoch=3 | batch= [1301/3503]
GAN training: time elapsed = 8240.37 [s] | epoch=3 | batch= [1351/3503]
GAN training: time elapsed = 8289.57 [s] | epoch=3 | batch= [1401/3503]
GAN training: time elapsed = 8338.66 [s] | epoch=3 | batch= [1451/3503]
GAN training: time elapsed = 8388.11 [s] | epoch=3 | batch= [1501/3503]
GAN training: time elapsed = 8437.24 [s] | epoch=3 | batch= [1551/3503]
GAN training: time elapsed = 8486.14 [s] | epoch=3 | batch= [1601/3503]
GAN training: time elapsed = 8535.41 [s] | epoch=3 | batch= [1651/3503]
GAN training: time elapsed = 8584.81 [s] | epoch=3 | batch= [1701/3503]
GAN training: time elapsed = 8634.11 [s] | epoch=3 | batch= [1751/3503]
GAN training: time elapsed = 8683.17 [s] | epoch=3 | batch= [1801/3503]
GAN training: time elapsed = 8732.23 [s] | epoch=3 | batch= [1851/3503]
GAN training: time elapsed = 8781.08 [s] | epoch=3 | batch= [1901/3503]
GAN training: time elapsed = 8830.41 [s] | epoch=3 | batch= [1951/3503]
GAN training: time elapsed = 8879.36 [s] | epoch=3 | batch= [2001/3503]
GAN training: time elapsed = 8928.41 [s] | epoch=3 | batch= [2051/3503]
GAN training: time elapsed = 8977.54 [s] | epoch=3 | batch= [2101/3503]
GAN training: time elapsed = 9026.51 [s] | epoch=3 | batch= [2151/3503]
GAN training: time elapsed = 9075.58 [s] | epoch=3 | batch= [2201/3503]
GAN training: time elapsed = 9124.85 [s] | epoch=3 | batch= [2251/3503]
GAN training: time elapsed = 9174.18 [s] | epoch=3 | batch= [2301/3503]
GAN training: time elapsed = 9223.34 [s] | epoch=3 | batch= [2351/3503]
GAN training: time elapsed = 9272.52 [s] | epoch=3 | batch= [2401/3503]
GAN training: time elapsed = 9321.53 [s] | epoch=3 | batch= [2451/3503]
GAN training: time elapsed = 9370.89 [s] | epoch=3 | batch= [2501/3503]
GAN training: time elapsed = 9419.99 [s] | epoch=3 | batch= [2551/3503]
GAN training: time elapsed = 9469.16 [s] | epoch=3 | batch= [2601/3503]
GAN training: time elapsed = 9518.32 [s] | epoch=3 | batch= [2651/3503]
GAN training: time elapsed = 9567.50 [s] | epoch=3 | batch= [2701/3503]
GAN training: time elapsed = 9616.64 [s] | epoch=3 | batch= [2751/3503]
